Index,Order number,Tracking number,Product name,Quantity,Price,Date of order,Date of dispatch,Date delivered,Order status,Address
145,583-7632812-3915228,TBA214677640041,wellness,2,22.8,2024-11-25,2024-11-27,2024-11-25,Shipped,"Anshul A, #425, Bajirao Road, City Sub-urban, Thiruvananthapuram, KL, 596677"
146,646-6269823-1274358,TBA142883397500,sterilite,9,40.79,2024-11-25,2024-11-28,2024-11-25,Out for Delivery,"Shantanu D, #495, Bajirao Road, City Sub-urban, Hyderabad, KA, 988463"
147,134-7494466-2439944,TBA765732748375,waxsetpcs,2,9.99,2024-11-25,2024-11-27,2024-12-04,Shipped,"Sahana, #687,  MG Road, City Rural, NamakKal, TN, 635885"
148,293-4793876-7976596,TBA993319055763,beukei,9,6.85,2024-11-25,2024-11-28,2024-11-28,Cancelled,"Radhabaran M, #941, Bajirao Road, City Sub-urban, Cuttack , KA, 403911"
149,235-4111401-7643331,A547418230090,carson dellosa education,3,11.02,2024-11-25,2024-11-25,2024-12-01,Shipped,"Sahana, #891,  MG Road, City Sub-urban, Thiruvananthapuram, AP, 690050"
150,572-6842008-9772905,A135879674348,wow stuff,10,25.99,2024-11-25,2024-11-27,2024-12-02,Delivered,"Nikhil G, #97, Bajirao Road, City Urban, Bangalore, AP, 445998"
151,311-1098480-1579574,AMZN283344295489,aiyazhi,10,19.98,2024-11-25,2024-11-28,2024-12-05,Delivered,"Sahana, #908, Laad Bazaar, City Sub-urban, Hyderabad, KA, 918299"
152,420-7042653-6881038,TBA256577541013,ruger,10,19.6,2024-11-25,2024-11-28,2024-11-26,Out for Delivery,"Nikhil G, #474, Laad Bazaar, City Urban, NamakKal, KL, 533936"
153,838-2310792-7490226,TBA906864758022,techion,9,9.99,2024-11-25,2024-11-27,2024-12-02,Cancelled,"Nikhil G, #239,  MG Road, City Sub-urban, Bangalore, TN, 405861"
154,578-4208942-5640259,A861128962680,avery,6,10.44,2024-11-25,2024-11-25,2024-11-26,Pending,"Pallabi P, #853, Bajirao Road, City Rural, NamakKal, KL, 644185"
155,658-2949552-8952713,AMZN337442328348,smith,9,60.0,2024-11-25,2024-11-27,2024-12-03,Shipped,"George J, #106, Bajirao Road, City Rural, Hyderabad, TN, 459033"
156,504-5102690-8079689,AMZN749005770011,levis,1,43.68,2024-11-25,2024-11-27,2024-11-26,Shipped,"Sridhar K S, #561, Laad Bazaar, City Urban, Bangalore, OD, 811321"
157,782-1269467-1013825,TBA197646336146,kohler,3,111.82,2024-11-25,2024-11-28,2024-12-04,Shipped,"Shantanu D, #61,  MG Road, City Sub-urban, NamakKal, OD, 567852"
158,264-6303600-4922631,AMZN930419365882,thermomate,6,229.99,2024-11-25,2024-11-26,2024-11-28,Delivered,"Sumanata B, #551, Bidyut Marg, City Rural, NamakKal, TN, 971723"
159,518-1747490-1306784,A828570143930,spypoint,1,69.99,2024-11-25,2024-11-27,2024-11-25,Shipped,"Sridhar K S, #321, S M Street, City Sub-urban, Bangalore, AP, 351777"
160,226-5526597-7981402,A813346922261,vans,2,70.0,2024-11-25,2024-11-25,2024-12-05,Cancelled,"Sahana, #864,  MG Road, City Sub-urban, Thiruvananthapuram, KA, 219684"
161,752-5239931-8179922,AMZN571123151171,brother,8,73.98,2024-11-25,2024-11-27,2024-11-29,Shipped,"George J, #731, Bidyut Marg, City Sub-urban, Bangalore, KA, 332337"
162,171-8814812-4400761,AMZN386810764471,patio,9,28.98,2024-11-25,2024-11-26,2024-12-05,Out for Delivery,"Shantanu D, #443, Bajirao Road, City Rural, Bangalore, KL, 890094"
163,377-6021000-6407608,AMZN312462311016,f,9,11.95,2024-11-25,2024-11-28,2024-11-26,Cancelled,"Anshul A, #742,  MG Road, City Sub-urban, Thiruvananthapuram, AP, 603651"
164,117-4706703-9099409,A107656290517,mayshine,9,26.99,2024-11-25,2024-11-28,2024-11-26,Pending,"Sahana, #830, Bidyut Marg, City Sub-urban, Bangalore, OD, 297638"
165,661-8994916-3338094,TBA248660149129,dremel,5,47.67,2024-11-25,2024-11-25,2024-12-04,Out for Delivery,"Shantanu D, #527, Bajirao Road, City Rural, NamakKal, AP, 683872"
166,296-5304907-4454326,AMZN244641304433,noble mount,7,17.99,2024-11-25,2024-11-25,2024-12-02,Out for Delivery,"Nikhil G, #778, Bidyut Marg, City Sub-urban, Cuttack , KA, 807720"
167,492-1635631-5555258,AMZN611306979519,maybelline,4,371.0,2024-11-25,2024-11-25,2024-12-03,Delivered,"Radhabaran M, #362, Laad Bazaar, City Rural, Thiruvananthapuram, OD, 889715"
168,906-8770579-2444987,TBA281527502706,gpx,6,24.36,2024-11-25,2024-11-26,2024-12-03,Pending,"Shantanu D, #721, S M Street, City Urban, Hyderabad, OD, 974564"
169,727-6144396-7049470,AMZN926431675941,fortstrong,6,154.99,2024-11-25,2024-11-28,2024-11-26,Shipped,"Sahana, #129, Bajirao Road, City Sub-urban, Bangalore, OD, 899219"
170,844-3955450-9447362,A549472198087,joystar,9,109.99,2024-11-25,2024-11-27,2024-12-01,Out for Delivery,"Radhabaran M, #696, S M Street, City Urban, Hyderabad, TN, 143189"
171,305-1445903-4049685,TBA720639189786,the beistle company,5,5.59,2024-11-25,2024-11-28,2024-12-03,Pending,"Nikhil G, #994, Laad Bazaar, City Rural, Bangalore, KA, 440915"
172,753-2075593-1085185,TBA139265533589,skechers,8,47.69,2024-11-25,2024-11-28,2024-12-03,Shipped,"Anshul A, #508, Laad Bazaar, City Rural, NamakKal, OD, 368861"
173,344-9792442-5448213,TBA954996785365,zrrhoo,6,28.99,2024-11-25,2024-11-28,2024-11-27,Delivered,"Pallabi P, #615, Laad Bazaar, City Sub-urban, Hyderabad, KA, 291921"
174,371-4247908-7168399,TBA104562911963,irwin,10,7.97,2024-11-25,2024-11-27,2024-11-30,Out for Delivery,"Sumanata B, #172,  MG Road, City Urban, Cuttack , TN, 437528"
175,859-7170766-8224554,TBA158776735718,lovspatio,7,139.99,2024-11-25,2024-11-25,2024-12-02,Pending,"Sahana, #773, Bidyut Marg, City Urban, Thiruvananthapuram, OD, 271160"
176,910-9607752-6935853,TBA291992880302,iqimott,3,21.99,2024-11-25,2024-11-27,2024-12-02,Pending,"Pallabi P, #794, Bajirao Road, City Urban, Hyderabad, KA, 892140"
177,707-6337804-5544658,TBA639508693744,seagate,10,332.99,2024-11-25,2024-11-25,2024-12-02,Cancelled,"Pallabi P, #445, S M Street, City Urban, NamakKal, KA, 137475"
178,228-7257530-3566643,TBA745871635783,santiny,7,19.99,2024-11-25,2024-11-28,2024-11-26,Cancelled,"Sahana, #956, Bidyut Marg, City Urban, Bangalore, OD, 119593"
179,282-8081655-1209378,A468631019275,homeweeks,8,14.99,2024-11-25,2024-11-25,2024-11-25,Cancelled,"George J, #381, Bajirao Road, City Sub-urban, Thiruvananthapuram, OD, 177773"
180,654-8090689-1047993,A910036447213,qaeoity,1,11.99,2024-11-25,2024-11-26,2024-12-04,Out for Delivery,"Sahana, #168, Laad Bazaar, City Sub-urban, Hyderabad, OD, 213595"
181,675-7616051-3391098,A676276665237,wacoal,1,49.0,2024-11-25,2024-11-28,2024-11-27,Out for Delivery,"Nikhil G, #223,  MG Road, City Rural, NamakKal, AP, 298703"
182,699-9848460-8100838,TBA510795469505,tork,10,92.0,2024-11-25,2024-11-28,2024-12-04,Shipped,"Nikhil G, #523,  MG Road, City Urban, Bangalore, KL, 950697"
183,225-6314080-3429704,TBA917726783722,caseysdistributing,3,21.01,2024-11-25,2024-11-27,2024-12-04,Delivered,"Radhabaran M, #107, Bidyut Marg, City Sub-urban, Cuttack , AP, 887064"
184,655-7139122-6108595,TBA615072859171,spectra premium,1,132.76,2024-11-25,2024-11-25,2024-11-25,Shipped,"Sridhar K S, #290,  MG Road, City Rural, NamakKal, AP, 633323"
185,543-8218028-8221084,TBA486064287447,maidenform,1,21.99,2024-11-25,2024-11-28,2024-12-03,Delivered,"Sahana, #392, Laad Bazaar, City Rural, NamakKal, AP, 983590"
186,356-2411493-2880179,AMZN199137893347,ancor,2,18.78,2024-11-25,2024-11-28,2024-12-02,Pending,"Pallabi P, #174, Bajirao Road, City Sub-urban, Bangalore, TN, 512000"
187,887-5810265-2427034,TBA777701593806,belugadesign,7,9.99,2024-11-25,2024-11-27,2024-11-28,Out for Delivery,"George J, #226,  MG Road, City Rural, Cuttack , KA, 105348"
188,345-2978127-1687770,A350168978710,natures bounty,2,9.99,2024-11-25,2024-11-27,2024-11-25,Shipped,"Shantanu D, #970,  MG Road, City Rural, NamakKal, KA, 359898"
189,580-4151981-4136391,TBA983564222812,tripp lite,8,222.99,2024-11-25,2024-11-26,2024-11-26,Out for Delivery,"Sumanata B, #800, Bajirao Road, City Sub-urban, Thiruvananthapuram, KA, 549479"
190,203-9218910-7491927,AMZN775904021919,powera,5,44.0,2024-11-25,2024-11-28,2024-11-30,Cancelled,"George J, #556, Bajirao Road, City Urban, Hyderabad, KA, 837786"
191,594-4316669-1648390,TBA801699189363,aslong,1,149.99,2024-11-25,2024-11-28,2024-11-26,Shipped,"Sumanata B, #345, Bidyut Marg, City Urban, Cuttack , OD, 424507"
192,206-7798267-5920703,TBA926033862014,lasco,8,11.03,2024-11-25,2024-11-27,2024-12-01,Out for Delivery,"Shantanu D, #441, Bajirao Road, City Urban, Cuttack , KA, 113013"
193,321-9964504-5779252,A794710727445,ge,7,11.18,2024-11-25,2024-11-26,2024-12-01,Cancelled,"Sahana, #725, Bidyut Marg, City Sub-urban, Cuttack , OD, 957194"
194,194-6366288-1559983,TBA451376544362,posaid,10,27.99,2024-11-25,2024-11-26,2024-11-28,Cancelled,"Sumanata B, #412, S M Street, City Urban, Hyderabad, AP, 282691"
195,483-8037057-4729505,A406171918707,hapinest,8,16.99,2024-11-25,2024-11-26,2024-11-25,Shipped,"Pallabi P, #495, Bidyut Marg, City Sub-urban, Bangalore, KL, 952865"
196,460-5791391-7503373,TBA613398092203,skybound,7,78.99,2024-11-25,2024-11-25,2024-12-03,Cancelled,"George J, #283, Bidyut Marg, City Urban, Hyderabad, OD, 799471"
197,778-2747960-5509848,AMZN103483192262,eclipse instant hair filler,10,34.99,2024-11-25,2024-11-28,2024-11-29,Shipped,"Sumanata B, #402,  MG Road, City Sub-urban, NamakKal, AP, 570564"
198,925-5264514-9813907,A919478306621,kmucutie,7,36.99,2024-11-25,2024-11-27,2024-12-05,Cancelled,"Sumanata B, #161, S M Street, City Urban, NamakKal, AP, 715853"
199,450-6198050-7336174,AMZN676365907768,gearit,4,58.99,2024-11-25,2024-11-28,2024-12-02,Cancelled,"Radhabaran M, #239, Bidyut Marg, City Sub-urban, NamakKal, OD, 318194"
200,232-2714682-5564245,AMZN182512592317,the beistle company,10,8.69,2024-11-25,2024-11-28,2024-11-29,Cancelled,"Sumanata B, #233, S M Street, City Rural, Bangalore, OD, 837371"
201,713-9248503-3864117,A515661406688,ovruns,3,9.99,2024-11-25,2024-11-25,2024-12-02,Out for Delivery,"Radhabaran M, #529, Laad Bazaar, City Sub-urban, Thiruvananthapuram, KL, 321436"
202,787-7890369-2874441,A958869788794,driftaway,10,27.99,2024-11-25,2024-11-26,2024-11-28,Cancelled,"George J, #239, Bidyut Marg, City Sub-urban, Cuttack , TN, 485736"
203,863-3322267-1145527,A952650445302,andy natalie,1,39.99,2024-11-25,2024-11-25,2024-11-30,Cancelled,"Nikhil G, #755, S M Street, City Urban, Thiruvananthapuram, KL, 913990"
204,511-1814513-6187955,AMZN109911559456,codemasters,6,44.99,2024-11-25,2024-11-25,2024-11-27,Delivered,"Sahana, #223,  MG Road, City Urban, Hyderabad, TN, 203712"
205,607-9827662-9770881,AMZN290453011422,new balance,7,69.79,2024-11-25,2024-11-26,2024-11-25,Shipped,"Shantanu D, #90, Laad Bazaar, City Rural, Thiruvananthapuram, KL, 488880"
206,928-8831389-1974993,TBA478837189059,neewer,6,97.19,2024-11-25,2024-11-25,2024-12-02,Delivered,"George J, #997,  MG Road, City Sub-urban, Hyderabad, OD, 405704"
207,634-8730833-6226445,TBA467075535863,gihetkut,2,159.99,2024-11-25,2024-11-25,2024-11-26,Pending,"Anshul A, #332, Bajirao Road, City Urban, Cuttack , AP, 259521"
208,813-6622246-9240202,AMZN218637898560,golden rabbit,4,25.25,2024-11-25,2024-11-28,2024-11-29,Out for Delivery,"Anshul A, #532,  MG Road, City Urban, Cuttack , KL, 930349"
209,843-4301273-6447232,A940272179139,ambesonne,4,24.95,2024-11-25,2024-11-25,2024-12-02,Cancelled,"Sumanata B, #394, Bidyut Marg, City Sub-urban, Thiruvananthapuram, OD, 380134"
210,100-8397458-6481097,A309412554071,fogg,8,220.0,2024-11-25,2024-11-25,2024-12-03,Out for Delivery,"Sridhar K S, #826, S M Street, City Urban, Bangalore, AP, 609763"
211,973-9233590-3993594,TBA679962532124,linksys,3,126.49,2024-11-25,2024-11-26,2024-11-30,Delivered,"Nikhil G, #726, Bajirao Road, City Urban, Bangalore, KL, 860395"
212,244-1655691-2577360,TBA970807865495,ocool,6,29.99,2024-11-25,2024-11-26,2024-11-27,Delivered,"Sahana, #588, Bajirao Road, City Rural, NamakKal, TN, 736112"
213,674-7694485-3859016,AMZN461528541425,ysagi,8,12.59,2024-11-25,2024-11-26,2024-11-30,Shipped,"Sahana, #185, Laad Bazaar, City Sub-urban, Cuttack , AP, 332174"
214,703-4366146-6818358,A330464917401,furnish my place,2,269.98,2024-11-25,2024-11-25,2024-11-28,Shipped,"Sumanata B, #901, Bajirao Road, City Urban, Thiruvananthapuram, KA, 880768"
215,402-9561145-4145355,AMZN314662924725,lovehandle,6,24.95,2024-11-25,2024-11-27,2024-12-04,Delivered,"Radhabaran M, #503, S M Street, City Sub-urban, Thiruvananthapuram, KA, 686481"
216,375-3307223-2717002,AMZN817791966591,georgiapacific,10,194.49,2024-11-25,2024-11-27,2024-11-30,Out for Delivery,"Anshul A, #33, Laad Bazaar, City Rural, Bangalore, KA, 503053"
217,679-4035514-9160806,AMZN212766475858,clarks,2,45.05,2024-11-25,2024-11-26,2024-12-05,Shipped,"Sahana, #278,  MG Road, City Rural, Thiruvananthapuram, KL, 567058"
218,179-1095410-6882902,A970501183344,zeropone,1,105.99,2024-11-25,2024-11-27,2024-11-29,Cancelled,"Sridhar K S, #4, Bidyut Marg, City Urban, Hyderabad, KL, 730729"
219,294-8761144-5313485,AMZN463841634188,sanuk,8,55.46,2024-11-25,2024-11-26,2024-12-04,Shipped,"Anshul A, #282, Bajirao Road, City Sub-urban, Cuttack , TN, 704882"
220,642-3591037-5081898,A358668748035,amazon essentials,5,19.9,2024-11-25,2024-11-27,2024-11-25,Shipped,"Anshul A, #736, Laad Bazaar, City Rural, Bangalore, KA, 606592"
221,459-1669138-3460035,A273431278063,patelai,7,8.99,2024-11-25,2024-11-28,2024-12-04,Cancelled,"Radhabaran M, #138, Bidyut Marg, City Urban, Bangalore, TN, 346833"
222,666-1302740-3152894,AMZN804421102818,miyang,4,35.55,2024-11-25,2024-11-27,2024-11-29,Cancelled,"Sridhar K S, #805, S M Street, City Rural, Bangalore, KA, 462475"
223,157-1780124-4677799,TBA560339587435,skininspired,7,170.0,2024-11-25,2024-11-25,2024-12-03,Delivered,"Sahana, #857,  MG Road, City Sub-urban, NamakKal, TN, 122312"
224,826-8232489-7716263,A969506393076,world traveler,9,34.43,2024-11-25,2024-11-27,2024-11-26,Delivered,"Anshul A, #917, Bidyut Marg, City Rural, NamakKal, AP, 247719"
225,257-9806274-5563943,AMZN763531247473,valeo,4,41.34,2024-11-25,2024-11-28,2024-12-02,Cancelled,"George J, #844, Bajirao Road, City Rural, Hyderabad, KL, 415941"
226,588-9762052-4663821,A138275821705,tenlley,4,19.49,2024-11-25,2024-11-26,2024-11-25,Out for Delivery,"Shantanu D, #976,  MG Road, City Sub-urban, Cuttack , TN, 123204"
227,402-1020281-1451989,A325950403608,cuby,9,19.99,2024-11-25,2024-11-25,2024-12-03,Delivered,"Sridhar K S, #905, Bidyut Marg, City Sub-urban, Thiruvananthapuram, KA, 684223"
228,239-8192928-2103292,A224128281439,kandent,10,49.99,2024-11-25,2024-11-25,2024-11-29,Cancelled,"Sridhar K S, #314, Bidyut Marg, City Rural, Thiruvananthapuram, KL, 939402"
229,990-7256616-3355671,A250330936990,lovevook,4,29.59,2024-11-25,2024-11-28,2024-12-05,Cancelled,"Nikhil G, #280, Laad Bazaar, City Sub-urban, NamakKal, KL, 170876"
230,841-4096406-3885341,TBA411907811995,yihico,10,309.99,2024-11-25,2024-11-25,2024-12-04,Out for Delivery,"Shantanu D, #626, S M Street, City Sub-urban, Hyderabad, TN, 105411"
231,542-8207034-4102675,AMZN713472524374,seagate,10,95.03,2024-11-25,2024-11-25,2024-11-25,Cancelled,"Sridhar K S, #7, S M Street, City Sub-urban, Cuttack , KL, 397025"
232,295-3800475-8613612,AMZN769549982613,furnish my place,9,158.95,2024-11-25,2024-11-28,2024-12-03,Out for Delivery,"Sumanata B, #541, Laad Bazaar, City Urban, Bangalore, AP, 153267"
233,595-6709669-7642912,AMZN820986602640,fyorr,1,99.0,2024-11-25,2024-11-26,2024-11-25,Pending,"Pallabi P, #478,  MG Road, City Urban, Thiruvananthapuram, KA, 251222"
234,809-9097623-5327265,A523132697988,kinowji,7,19.99,2024-11-25,2024-11-26,2024-11-26,Shipped,"Pallabi P, #916, S M Street, City Rural, Hyderabad, KA, 313535"
235,606-5381473-1456595,AMZN574303270025,la flora organics,10,175.0,2024-11-25,2024-11-28,2024-12-05,Pending,"Pallabi P, #704, Laad Bazaar, City Rural, Hyderabad, KL, 832550"
236,579-4013780-2080672,TBA975036535341,kissonic,9,26.98,2024-11-25,2024-11-25,2024-11-26,Pending,"Radhabaran M, #500, Bidyut Marg, City Urban, Hyderabad, OD, 401953"
237,860-3018620-5915027,TBA577346107891,casio,7,32.99,2024-11-25,2024-11-26,2024-11-30,Pending,"Pallabi P, #171, S M Street, City Sub-urban, Bangalore, KA, 516694"
238,685-6376317-8743136,TBA260067707407,top trumps,4,9.9,2024-11-25,2024-11-28,2024-11-28,Pending,"Sridhar K S, #429, Bidyut Marg, City Urban, Bangalore, KL, 266865"
239,830-1313644-1386045,A164768450787,camco,10,23.12,2024-11-25,2024-11-27,2024-11-27,Cancelled,"Radhabaran M, #692, S M Street, City Sub-urban, Cuttack , KL, 202503"
240,693-8229597-5182986,AMZN891096826450,sanita,10,93.39,2024-11-25,2024-11-26,2024-12-03,Out for Delivery,"Shantanu D, #203, Bidyut Marg, City Urban, NamakKal, KL, 670750"
241,864-1713704-5286429,TBA786529988031,whirlpool parts and accessories,6,52.11,2024-11-25,2024-11-25,2024-12-04,Out for Delivery,"Pallabi P, #7, Bajirao Road, City Rural, Thiruvananthapuram, KL, 282411"
242,922-1117747-5088353,TBA256172276985,anziner,1,6.99,2024-11-25,2024-11-26,2024-12-04,Delivered,"Nikhil G, #364, Laad Bazaar, City Urban, Cuttack , TN, 557511"
243,349-8235388-1708644,AMZN230173908528,smartstandard,5,169.99,2024-11-25,2024-11-25,2024-11-29,Shipped,"Pallabi P, #120, Bajirao Road, City Urban, NamakKal, KL, 396365"
244,263-1553243-1075509,TBA252412525785,gpatio,10,37.99,2024-11-25,2024-11-26,2024-12-02,Out for Delivery,"Sridhar K S, #541, S M Street, City Rural, Bangalore, KL, 284812"
245,136-2853133-8618425,AMZN100390437839,adidas,7,53.0,2024-11-25,2024-11-25,2024-11-29,Cancelled,"Sumanata B, #784, Bajirao Road, City Rural, Cuttack , OD, 604178"
246,985-6194416-2219525,AMZN738765842330,carhartt sportswear mens,3,39.99,2024-11-25,2024-11-28,2024-12-02,Cancelled,"Pallabi P, #159,  MG Road, City Sub-urban, Cuttack , KA, 667716"
247,179-1968459-5595633,A492277695769,towallmark,9,44.99,2024-11-25,2024-11-26,2024-11-29,Shipped,"Radhabaran M, #977, Laad Bazaar, City Sub-urban, Thiruvananthapuram, AP, 672554"
248,805-1064814-8612250,AMZN533188706895,koumyou,2,7.99,2024-11-25,2024-11-26,2024-12-02,Delivered,"Shantanu D, #158, S M Street, City Urban, Thiruvananthapuram, TN, 782919"
249,154-4009377-4479471,A989322824782,lem,7,35.24,2024-11-25,2024-11-25,2024-11-30,Pending,"Shantanu D, #840, Bajirao Road, City Urban, Cuttack , AP, 423220"
250,737-5195516-1158994,TBA470871518298,versiontech,2,11.99,2024-11-25,2024-11-28,2024-11-28,Out for Delivery,"George J, #791, Laad Bazaar, City Sub-urban, NamakKal, KA, 440089"
251,283-7129237-1041304,A200156321073,uulmbuj,5,19.99,2024-11-25,2024-11-28,2024-12-03,Delivered,"Nikhil G, #588, Laad Bazaar, City Sub-urban, Hyderabad, AP, 374498"
252,700-6038175-7955430,TBA627283276517,steve madden,9,75.96,2024-11-25,2024-11-26,2024-11-29,Cancelled,"Pallabi P, #970, Bidyut Marg, City Urban, NamakKal, KL, 396070"
253,156-1964256-5240339,A318175395484,sony,10,389.0,2024-11-25,2024-11-28,2024-11-29,Shipped,"Radhabaran M, #542,  MG Road, City Urban, Hyderabad, TN, 892407"
254,879-8346053-6127499,A556763606273,skechers,7,75.99,2024-11-25,2024-11-28,2024-11-26,Pending,"Sahana, #74,  MG Road, City Urban, Thiruvananthapuram, OD, 130764"
255,507-8090002-7997921,AMZN281440045401,hossian,5,10.99,2024-11-25,2024-11-26,2024-12-05,Out for Delivery,"Nikhil G, #492, S M Street, City Rural, NamakKal, KL, 603802"
256,917-2987606-6858447,TBA447590164342,stone lain,4,119.99,2024-11-25,2024-11-26,2024-11-30,Shipped,"Shantanu D, #231,  MG Road, City Rural, NamakKal, KL, 497918"
257,904-2377514-9624759,A518763563269,bcw,7,5.51,2024-11-25,2024-11-28,2024-12-05,Out for Delivery,"Radhabaran M, #849, Laad Bazaar, City Sub-urban, Bangalore, KA, 340436"
258,494-2510596-9877539,AMZN846970459536,kgorge,8,18.95,2024-11-25,2024-11-27,2024-11-26,Pending,"Radhabaran M, #688, Bajirao Road, City Sub-urban, Hyderabad, TN, 680611"
259,329-7576824-7199058,A977888957425,all good makes everything better,7,13.59,2024-11-25,2024-11-28,2024-11-26,Cancelled,"Radhabaran M, #437,  MG Road, City Urban, Bangalore, TN, 323434"
260,875-1663853-6838399,TBA972372044193,casebuy,1,14.95,2024-11-25,2024-11-28,2024-12-05,Shipped,"George J, #428, S M Street, City Rural, Thiruvananthapuram, KL, 338388"
261,897-8483493-9532401,A483570803203,skl home,8,15.69,2024-11-25,2024-11-26,2024-12-02,Out for Delivery,"Sumanata B, #858, Bajirao Road, City Sub-urban, Thiruvananthapuram, KL, 890060"
262,130-8042974-3067671,AMZN568140263817,wingbo,7,314.99,2024-11-25,2024-11-27,2024-12-01,Shipped,"Pallabi P, #442, Laad Bazaar, City Rural, Hyderabad, OD, 707765"
263,588-5359067-2577187,TBA421493865179,armitron sport,10,18.75,2024-11-25,2024-11-26,2024-12-04,Shipped,"Sridhar K S, #420, Laad Bazaar, City Urban, Cuttack , OD, 608753"
264,787-3554810-4825298,A837543294251,gbc,2,,2024-11-25,2024-11-27,2024-12-03,Cancelled,"Sridhar K S, #430, S M Street, City Sub-urban, NamakKal, AP, 287255"
265,226-7968528-9529838,TBA257334385290,yulejo,9,7.99,2024-11-25,2024-11-27,2024-11-27,Pending,"Nikhil G, #527, Bajirao Road, City Urban, Cuttack , KA, 377311"
266,583-6592969-7725949,TBA158597228769,gu energy,2,48.99,2024-11-25,2024-11-28,2024-11-25,Out for Delivery,"Radhabaran M, #646, S M Street, City Urban, Thiruvananthapuram, TN, 226485"
267,428-8907346-6274483,A425474570126,mauto,8,151.99,2024-11-25,2024-11-26,2024-12-01,Delivered,"Shantanu D, #813,  MG Road, City Urban, NamakKal, AP, 986547"
268,542-5182703-2236623,TBA893499023579,demeter,3,13.5,2024-11-25,2024-11-26,2024-11-26,Cancelled,"Sahana, #123,  MG Road, City Rural, Hyderabad, KL, 285604"
269,486-3723212-8637147,TBA683288729596,sayoneyes,4,16.97,2024-11-25,2024-11-25,2024-11-29,Shipped,"Sridhar K S, #343, Bidyut Marg, City Sub-urban, Bangalore, AP, 766629"
270,653-7166036-4175655,A846636828577,civivi,7,33.43,2024-11-25,2024-11-28,2024-11-25,Out for Delivery,"Pallabi P, #380, Bidyut Marg, City Sub-urban, NamakKal, AP, 674578"
271,323-1459121-3867210,A985191798334,ambesonne,4,29.95,2024-11-25,2024-11-27,2024-12-05,Pending,"Nikhil G, #224, Bajirao Road, City Sub-urban, Cuttack , AP, 438640"
272,877-2484077-7480713,TBA376038899122,hanes mens athletic child code,6,13.8,2024-11-25,2024-11-26,2024-12-02,Out for Delivery,"Nikhil G, #199,  MG Road, City Sub-urban, NamakKal, OD, 737739"
273,512-6379806-4670645,A922520415386,be studied,4,69.99,2024-11-25,2024-11-25,2024-12-03,Out for Delivery,"Nikhil G, #704, Laad Bazaar, City Urban, Bangalore, AP, 770621"
274,661-3632369-1341260,TBA892995846513,swomog,5,29.99,2024-11-25,2024-11-26,2024-11-29,Shipped,"Sahana, #663, Bajirao Road, City Rural, Hyderabad, OD, 956881"
275,517-6826201-2188596,AMZN276125895847,ergodyne,9,34.4,2024-11-25,2024-11-26,2024-12-02,Pending,"Sahana, #655, Laad Bazaar, City Urban, Cuttack , OD, 840039"
276,777-2412433-7198594,AMZN982514435569,merrell,7,104.99,2024-11-25,2024-11-25,2024-12-05,Cancelled,"Shantanu D, #993, Bidyut Marg, City Urban, Thiruvananthapuram, OD, 787594"
277,489-9670059-8918955,AMZN139131174240,qbleev,7,35.99,2024-11-25,2024-11-28,2024-11-28,Pending,"Sumanata B, #113, S M Street, City Urban, Thiruvananthapuram, KA, 124296"
278,762-3304691-6857581,A102660974322,propt,4,59.96,2024-11-25,2024-11-27,2024-12-01,Cancelled,"George J, #389, Laad Bazaar, City Rural, NamakKal, OD, 781767"
279,933-1096642-9127092,A136023306733,acorn,10,35.54,2024-11-25,2024-11-25,2024-12-03,Cancelled,"Sahana, #365, Laad Bazaar, City Rural, NamakKal, TN, 917513"
280,688-1447507-1442736,A636421584836,seceles,3,31.99,2024-11-25,2024-11-25,2024-11-26,Out for Delivery,"Sridhar K S, #586, Bajirao Road, City Urban, Hyderabad, TN, 820486"
281,857-9033305-2053696,A351053759831,razer,2,58.2,2024-11-25,2024-11-27,2024-12-01,Shipped,"George J, #918, Laad Bazaar, City Sub-urban, Hyderabad, OD, 754389"
282,200-7655031-5196923,TBA212173219169,hunter fan company,10,157.01,2024-11-25,2024-11-25,2024-11-27,Out for Delivery,"Radhabaran M, #603, S M Street, City Rural, Bangalore, TN, 900695"
283,114-1504702-9547320,A797074043592,hercules,4,6.99,2024-11-25,2024-11-26,2024-12-05,Cancelled,"Anshul A, #555, Laad Bazaar, City Rural, Thiruvananthapuram, KL, 659220"
284,735-2401642-4508396,TBA606272877427,champion,5,18.25,2024-11-25,2024-11-28,2024-11-27,Shipped,"Nikhil G, #985, Laad Bazaar, City Rural, NamakKal, KA, 671116"
285,200-5174573-1332919,AMZN137091315488,scarecrow,10,17.99,2024-11-25,2024-11-27,2024-12-05,Delivered,"Sahana, #697,  MG Road, City Urban, Cuttack , OD, 396066"
286,448-7086958-7838600,TBA204173987237,cressi,1,62.95,2024-11-25,2024-11-28,2024-12-04,Shipped,"Anshul A, #242, Laad Bazaar, City Rural, Cuttack , OD, 285085"
287,436-3836936-4267161,TBA780192782684,kelty,5,129.95,2024-11-25,2024-11-28,2024-11-28,Out for Delivery,"Sumanata B, #512, Bidyut Marg, City Sub-urban, Bangalore, KA, 789906"
288,889-9348230-7490151,TBA475232613120,precision pet products,7,52.87,2024-11-25,2024-11-28,2024-12-03,Delivered,"Radhabaran M, #821,  MG Road, City Rural, NamakKal, AP, 228926"
